PLATFORM;DEVICE;READ MODE;WRITE MODE;INPUT FLAGS;OUTPUT FLAGS;SIZE;TIME;ITERATIONS
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2166784;270.61;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2359296;334.94;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2560000;355.75;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2768896;420.19;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;2985984;457.23;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;3211264;531.68;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;3444736;573.65;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;3686400;649.24;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;3936256;703.68;100
0;0 Tahiti;MapBuffer;MapBuffer;CL_MEM_READ_ONLY | CL_MEM_USE_HOST_PTR;CL_MEM_WRITE_ONLY | CL_MEM_USE_HOST_PTR;4194304;828.88;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;4096;0.45;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;16384;0.4;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;36864;1.01;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;65536;1.41;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;102400;2.46;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;147456;3.48;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;200704;4.84;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;262144;6.86;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;331776;9.03;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;409600;12.34;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;495616;15.43;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;589824;19.79;100
0;1 Devastator;EnqueueReadBuffer;EnqueueWriteBuffer;CL_MEM_READ_ONLY;CL_MEM_WRITE_ONLY;692224;24.66;100
